3.87495         PING_DISTANCE        iBlueRoboticsPing 4745.00000   
4.13090         PING_DISTANCE        iBlueRoboticsPing 4744.00000   
4.45110         PING_DISTANCE        iBlueRoboticsPing 4741.00000   
4.62710         PING_DISTANCE        iBlueRoboticsPing 4742.00000   
4.94720         PING_DISTANCE        iBlueRoboticsPing 4738.00000   
5.13923         PING_DISTANCE        iBlueRoboticsPing 4749.00000   
5.42728         PING_DISTANCE        iBlueRoboticsPing 4745.00000   
5.76332         PING_DISTANCE        iBlueRoboticsPing 4743.00000   
5.93927         PING_DISTANCE        iBlueRoboticsPing 4742.00000   
6.17939         PING_DISTANCE        iBlueRoboticsPing 4737.00000   
6.41955         PING_DISTANCE        iBlueRoboticsPing 4756.00000   
6.73954         PING_DISTANCE        iBlueRoboticsPing 4767.00000   
6.91561         PING_DISTANCE        iBlueRoboticsPing 4771.00000   
7.15565         PING_DISTANCE        iBlueRoboticsPing 4767.00000   
7.39611         PING_DISTANCE        iBlueRoboticsPing 4757.00000   
7.73173         PING_DISTANCE        iBlueRoboticsPing 4756.00000   
7.89183         PING_DISTANCE        iBlueRoboticsPing 4757.00000   
8.13189         PING_DISTANCE        iBlueRoboticsPing 4761.00000   
8.37190         PING_DISTANCE        iBlueRoboticsPing 4764.00000   
8.70804         PING_DISTANCE        iBlueRoboticsPing 4766.00000   
9.02806         PING_DISTANCE        iBlueRoboticsPing 4763.00000   
9.14004         PING_DISTANCE        iBlueRoboticsPing 4774.00000   
9.39619         PING_DISTANCE        iBlueRoboticsPing 4776.00000   
9.68422         PING_DISTANCE        iBlueRoboticsPing 4760.00000   
10.02031        PING_DISTANCE        iBlueRoboticsPing 4767.00000   
10.19630        PING_DISTANCE        iBlueRoboticsPing 4767.00000   
10.43640        PING_DISTANCE        iBlueRoboticsPing 4776.00000   
10.67646        PING_DISTANCE        iBlueRoboticsPing 4771.00000   
10.99652        PING_DISTANCE        iBlueRoboticsPing 4760.00000   
11.17254        PING_DISTANCE        iBlueRoboticsPing 4753.00000   
11.41262        PING_DISTANCE        iBlueRoboticsPing 4748.00000   
11.65265        PING_DISTANCE        iBlueRoboticsPing 4738.00000   
11.65265        PING_DISTANCE        iBlueRoboticsPing 4738.00000   
11.97274        PING_DISTANCE        iBlueRoboticsPing 4747.00000   
12.14875        PING_DISTANCE        iBlueRoboticsPing 4759.00000   
12.38884        PING_DISTANCE        iBlueRoboticsPing 4775.00000   
12.64484        PING_DISTANCE        iBlueRoboticsPing 4760.00000   
12.64484        PING_DISTANCE        iBlueRoboticsPing 4760.00000   
12.96515        PING_DISTANCE        iBlueRoboticsPing 4769.00000   
13.28497        PING_DISTANCE        iBlueRoboticsPing 4764.00000   
13.46108        PING_DISTANCE        iBlueRoboticsPing 4776.00000   
13.65308        PING_DISTANCE        iBlueRoboticsPing 4772.00000   
13.94114        PING_DISTANCE        iBlueRoboticsPing 4783.00000   
14.27717        PING_DISTANCE        iBlueRoboticsPing 4796.00000   
14.45319        PING_DISTANCE        iBlueRoboticsPing 4796.00000   
14.69330        PING_DISTANCE        iBlueRoboticsPing 4797.00000   
14.93335        PING_DISTANCE        iBlueRoboticsPing 4805.00000   
15.25340        PING_DISTANCE        iBlueRoboticsPing 4806.00000   
15.42946        PING_DISTANCE        iBlueRoboticsPing 4801.00000   
15.66950        PING_DISTANCE        iBlueRoboticsPing 4794.00000   
15.90956        PING_DISTANCE        iBlueRoboticsPing 4794.00000   
16.24560        PING_DISTANCE        iBlueRoboticsPing 4779.00000   
16.40566        PING_DISTANCE        iBlueRoboticsPing 4773.00000   
16.66168        PING_DISTANCE        iBlueRoboticsPing 4766.00000   
16.90177        PING_DISTANCE        iBlueRoboticsPing 4744.00000   
17.22186        PING_DISTANCE        iBlueRoboticsPing 4726.00000   
17.54194        PING_DISTANCE        iBlueRoboticsPing 4716.00000   
17.71796        PING_DISTANCE        iBlueRoboticsPing 4719.00000   
17.91012        PING_DISTANCE        iBlueRoboticsPing 4716.00000   
